route_id,airline,origin_iata,destination_iata,origin_airport,destination_airport,origin_city,destination_city,origin_country,destination_country,origin_latitude,origin_longitude,destination_latitude,destination_longitude,region,distance_km,route_type,summer_2026_status,route_scope,data_note
QR-DOH-ABJ,Qatar Airways,DOH,ABJ,Hamad International Airport,Félix-Houphouët-Boigny International Airport,Doha,Abidjan,QA,CI,25.273056,51.608056,5.26139,-3.92629,Africa,6307,Long-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ABV,Qatar Airways,DOH,ABV,Hamad International Airport,Nnamdi Azikiwe International Airport,Doha,Abuja,QA,NG,25.273056,51.608056,9.00679,7.26317,Africa,5018,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ACC,Qatar Airways,DOH,ACC,Hamad International Airport,Kotoka International Airport,Doha,Accra,QA,GH,25.273056,51.608056,5.605189800262451,-0.1667860001325607,Africa,5919,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ADD,Qatar Airways,DOH,ADD,Hamad International Airport,Addis Ababa Bole International Airport,Doha,Addis Ababa,QA,ET,25.273056,51.608056,8.97789,38.799301,Africa,2263,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ADL,Qatar Airways,DOH,ADL,Hamad International Airport,Adelaide International Airport,Doha,Adelaide,QA,AU,25.273056,51.608056,-34.947512,138.533393,Asia-Pacific,11322,Long-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-AGP,Qatar Airways,DOH,AGP,Hamad International Airport,Málaga-Costa del Sol Airport,Doha,Málaga,QA,ES,25.273056,51.608056,36.6749,-4.49911,Europe,5420,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-AHB,Qatar Airways,DOH,AHB,Hamad International Airport,Abha International Airport,Doha,Abha,QA,SA,25.273056,51.608056,18.2404,42.656601,Middle East,1210,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-AKL,Qatar Airways,DOH,AKL,Hamad International Airport,Auckland International Airport,Doha,Auckland,QA,NZ,25.273056,51.608056,-37.01199,174.786331,Asia-Pacific,14534,Ultra-long-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ALA,Qatar Airways,DOH,ALA,Hamad International Airport,Almaty International Airport,Doha,Almaty,QA,KZ,25.273056,51.608056,43.354267,77.042828,Caucasus & Central Asia,3060,Medium-haul,Returning / announced (2026-06-16),Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ALG,Qatar Airways,DOH,ALG,Hamad International Airport,Houari Boumediene Airport,Doha,Algiers,QA,DZ,25.273056,51.608056,36.693886,3.214531,Africa,4732,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-AMD,Qatar Airways,DOH,AMD,Hamad International Airport,Sardar Vallabh Patel International Airport,Doha,Ahmedabad,QA,IN,25.273056,51.608056,23.0772,72.634697,Asia-Pacific,2145,Short-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-AMS,Qatar Airways,DOH,AMS,Hamad International Airport,Amsterdam Airport Schiphol,Doha,Amsterdam,QA,NL,25.273056,51.608056,52.308601,4.76389,Europe,4923,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ARN,Qatar Airways,DOH,ARN,Hamad International Airport,Stockholm-Arlanda Airport,Doha,Stockholm,QA,SE,25.273056,51.608056,59.64849,17.928829,Europe,4617,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
QR-DOH-ATH,Qatar Airways,DOH,ATH,Hamad International Airport,Athens Eleftherios Venizelos International Airport,Doha,Spata-Artemida,QA,GR,25.273056,51.608056,37.936401,23.9445,Europe,2958,Medium-haul,On official Apr-2026 network map,Qatar Airways network destination from Doha,Airport geography from OurAirports; network membership based on Qatar Airways official Apr-2026 network map plus Summer 2026 destination announcements.
