route_id,airline,origin_iata,origin_airport,origin_city,origin_country,origin_latitude,origin_longitude,destination_iata,destination_airport,destination_city,destination_country,destination_latitude,destination_longitude,region,distance_km,route_type,route_scope,summer_2026_status,point_type,path_order,latitude,longitude
QR-DOH-ABJ,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,CI,5.26139,-3.92629,Africa,6307,Long-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ABV,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ABV,Nnamdi Azikiwe International Airport,Abuja,NG,9.00679,7.26317,Africa,5018,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ACC,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ACC,Kotoka International Airport,Accra,GH,5.605189800262451,-0.1667860001325607,Africa,5919,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ADD,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,8.97789,38.799301,Africa,2263,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ADL,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ADL,Adelaide International Airport,Adelaide,AU,-34.947512,138.533393,Asia-Pacific,11322,Long-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-AGP,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,AGP,Málaga-Costa del Sol Airport,Málaga,ES,36.6749,-4.49911,Europe,5420,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-AHB,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,AHB,Abha International Airport,Abha,SA,18.2404,42.656601,Middle East,1210,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-AKL,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,AKL,Auckland International Airport,Auckland,NZ,-37.01199,174.786331,Asia-Pacific,14534,Ultra-long-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-ALA,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ALA,Almaty International Airport,Almaty,KZ,43.354267,77.042828,Caucasus & Central Asia,3060,Medium-haul,Qatar Airways network destination from Doha,Returning / announced (2026-06-16),Origin,1,25.273056,51.608056
QR-DOH-ALG,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ALG,Houari Boumediene Airport,Algiers,DZ,36.693886,3.214531,Africa,4732,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-AMD,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,AMD,Sardar Vallabh Patel International Airport,Ahmedabad,IN,23.0772,72.634697,Asia-Pacific,2145,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-AMS,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,AMS,Amsterdam Airport Schiphol,Amsterdam,NL,52.308601,4.76389,Europe,4923,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ARN,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ARN,Stockholm-Arlanda Airport,Stockholm,SE,59.64849,17.928829,Europe,4617,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ATH,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ATH,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,37.936401,23.9445,Europe,2958,Medium-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
QR-DOH-ATQ,Qatar Airways,DOH,Hamad International Airport,Doha,QA,25.273056,51.608056,ATQ,Sri Guru Ram Das Ji International Airport,Amritsar,IN,31.7096,74.797302,Asia-Pacific,2371,Short-haul,Qatar Airways network destination from Doha,On official Apr-2026 network map,Origin,1,25.273056,51.608056
